Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.6011947,0.069614,2.4544778,0.13739726,0.0002993779,0.19979265,0.0049896534,3000.0,669.2127182831367,669.2127182831367,1.0
30000,1.5964687,0.2750902,1.4809545,0.14296594,0.00029875836,0.19958615,0.0049793473,None,None,None,1.0
40000,1.5953306,0.9301107,0.7124193,0.14399229,0.0002981363,0.19937874,0.0049690004,3000.0,707.5772697776556,707.5772697776556,1.0
50000,1.5942671,1.3635782,0.8711251,0.14029361,0.00029751673,0.19917224,0.0049586957,None,None,None,1.0
60000,1.5886439,1.3265139,0.34641364,0.14453232,0.00029689466,0.19896488,0.0049483473,3000.0,1136.0299599145849,1136.0299599145849,1.0
70000,1.5902861,1.6387908,0.326871,0.14420392,0.00029627513,0.19875836,0.0049380427,None,None,None,1.0
80000,1.5790849,2.0034795,0.22245212,0.14136516,0.0002956555,0.19855185,0.0049277367,3000.0,1222.7395990391572,1222.7395990391572,1.0
90000,1.5717654,2.2176518,0.18554036,0.13935235,0.00029503342,0.19834448,0.00491739,3000.0,1491.3381900548934,1491.3381900548934,1.0
100000,1.5650396,2.5155385,0.19578439,0.14724725,0.0002944139,0.19813798,0.0049070837,None,1785.4035348892212,1785.4035348892212,1.0
110000,1.5551713,2.5934584,0.098408945,0.1418214,0.0002937918,0.19793059,0.0048967367,3000.0,1578.209576671322,1578.209576671322,1.0
120000,1.5525287,2.8416436,0.039985627,0.13852972,0.00029317223,0.19772409,0.0048864326,None,None,None,1.0
130000,1.545838,2.9063363,0.059035093,0.13925883,0.00029255028,0.19751671,0.0048760837,3000.0,1746.1639135281246,1746.1639135281246,1.0
140000,1.5439601,3.1541348,0.16309331,0.13853414,0.0002919306,0.1973102,0.0048657795,None,None,None,1.0
150000,1.5357252,3.0205946,0.11351817,0.13446924,0.0002913111,0.19710372,0.004855473,3000.0,1914.2841224571068,1914.2841224571068,1.0
160000,1.5303893,3.3214765,0.05108476,0.13880736,0.00029068897,0.1968963,0.0048451265,None,None,None,1.0
170000,1.5086384,3.2514029,0.110573255,0.14393054,0.00029006947,0.19668983,0.004834821,3000.0,1968.1839516162872,1968.1839516162872,1.0
180000,1.5111592,3.3768992,0.052586783,0.13779461,0.00028944734,0.19648243,0.0048244735,3000.0,1998.5748462677002,1998.5748462677002,1.0
