Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
2460000,0.5295104,3.3600001,3000.0,2182.0835946798325,2182.0835946798325,0.06481518,0.14446515,0.00015244518,0.15081502,0.0025456701,1.0
2470000,0.69352037,3.1563237,3000.0,1766.0321719646454,1766.0321719646454,0.119902566,0.14398304,0.0001518282,0.15060936,0.0025354081,1.0
2480000,0.74405766,2.940183,3000.0,1650.1460853616397,1650.1460853616397,0.24006034,0.13759354,0.00015121164,0.15040384,0.0025251524,1.0
2490000,0.47684094,3.6224983,3000.0,2107.02490456899,2107.02490456899,None,None,None,None,None,1.0
2500000,0.6435506,3.2426748,3000.0,1973.6426737830043,1973.6426737830043,0.15309748,0.13928631,0.00015059464,0.1501982,0.00251489,1.0
2510000,0.66589296,3.1248431,3000.0,1892.1749433875084,1892.1749433875084,0.18133752,0.138131,0.00014997809,0.14999269,0.002504635,1.0
2520000,0.40287733,2.585926,3000.0,1574.1878001987934,1574.1878001987934,0.11546093,0.14066131,0.00014936113,0.14978702,0.0024943724,1.0
2530000,0.58475447,3.248314,3000.0,1790.9993596971035,1790.9993596971035,0.15202531,0.14234316,0.00014874412,0.14958136,0.0024841097,1.0
2540000,0.74137557,2.7877178,3000.0,1318.2133716642857,1318.2133716642857,0.21165687,0.13938232,0.00014812757,0.14937584,0.002473854,1.0
2550000,0.49354225,3.1914015,3000.0,1927.387918929259,1927.387918929259,0.30723715,0.13706,0.00014751057,0.14917018,0.0024635918,1.0
2560000,0.6382229,3.176257,3000.0,2107.77034085989,2107.77034085989,0.16967477,0.1374197,0.00014689403,0.14896466,0.002453336,1.0
2570000,0.58818036,3.171026,3000.0,1651.9262386746705,1651.9262386746705,0.16973864,0.14030235,0.00014627705,0.14875902,0.0024430747,1.0
2580000,0.42394274,3.5443418,3000.0,2225.931204636892,2225.931204636892,0.106846176,0.14186472,0.00014566051,0.14855348,0.002432819,1.0
2590000,0.45569637,3.5417151,3000.0,2157.2426524162292,2157.2426524162292,0.084304474,0.14129448,0.00014504351,0.14834785,0.002422556,1.0
2600000,0.47409162,3.5934677,3000.0,2131.9630066007376,2131.9630066007376,0.17902239,0.13882387,0.00014442655,0.14814211,0.0024122933,1.0
2610000,0.51458347,3.489212,3000.0,2141.2357338269553,2141.2357338269553,0.10623236,0.14578503,0.00014380997,0.14793661,0.0024020388,1.0
2620000,0.80602896,2.6611915,3000.0,1413.2945596973102,1413.2945596973102,0.19595405,0.13970964,0.00014319301,0.14773098,0.002391776,1.0
2630000,1.0423218,2.291497,3000.0,1403.0888628661633,1403.0888628661633,0.29876596,0.13930172,0.00014257645,0.14752546,0.0023815203,1.0
2640000,0.7000527,3.028487,3000.0,1658.4551262060802,1658.4551262060802,0.105869375,0.1426087,0.00014195945,0.1473198,0.0023712586,1.0
2650000,0.4867629,3.5030987,3000.0,2016.2698578039806,2016.2698578039806,0.20632493,0.14603843,0.00014134291,0.14711428,0.002361003,1.0
2660000,0.61435163,3.3054016,3000.0,2045.630424246192,2045.630424246192,0.13450219,0.13871203,0.00014072594,0.14690861,0.0023507404,1.0
2670000,0.65731215,3.2259955,3000.0,2050.874161720276,2050.874161720276,0.08648229,0.13540013,0.00014010895,0.14670298,0.0023404772,1.0
2680000,0.72274536,3.2806273,3000.0,1899.9209193785985,1899.9209193785985,0.060605623,0.14846453,0.00013949236,0.14649746,0.0023302217,1.0
2690000,0.605666,3.4277415,3000.0,2022.4485819488764,2022.4485819488764,0.1695749,0.13787128,0.00013887542,0.14629176,0.00231996,1.0
2700000,0.43172926,3.7007947,3000.0,2178.7935439745584,2178.7935439745584,0.081819974,0.14136621,0.00013825882,0.14608625,0.0023097044,1.0
2710000,0.5840107,3.5431082,3000.0,2136.12159148852,2136.12159148852,0.096068926,0.13798046,0.00013764188,0.1458806,0.0022994415,1.0
2720000,0.49905166,3.6444366,3000.0,2182.9634046554565,2182.9634046554565,0.12595083,0.13171397,0.00013702529,0.1456751,0.0022891867,1.0
2730000,0.60386467,3.469575,3000.0,1978.9411508639653,1978.9411508639653,0.16775785,0.13474156,0.00013640836,0.14546944,0.0022789242,1.0
2740000,0.3406446,3.908449,3000.0,2243.9142355918884,2243.9142355918884,0.08083392,0.13954176,0.00013579136,0.14526376,0.0022686615,1.0
2750000,0.6595322,3.4124553,3000.0,2039.1852607131004,2039.1852607131004,0.12538318,0.13821934,0.00013517476,0.14505826,0.0022584058,1.0
2760000,0.36635667,3.970398,3000.0,2413.437032699585,2413.437032699585,0.032763176,0.13949285,0.00013455782,0.14485261,0.0022481435,1.0
2770000,0.8173006,3.076186,3000.0,1637.5982514619827,1637.5982514619827,0.6822426,0.14721274,0.00013394126,0.14464709,0.0022378883,1.0
2780000,0.62397563,3.3461816,3000.0,2036.0786098986864,2036.0786098986864,0.1298209,0.14263217,0.0001333243,0.14444138,0.0022276263,1.0
2790000,0.7329525,3.0176876,3000.0,1794.3030527830124,1794.3030527830124,0.13083504,0.14129347,0.00013270768,0.14423586,0.0022173706,1.0
