Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.6094334,-0.024145521,3000.0,293.44975715875626,293.44975715875626,1.0
20000,1.6074971,0.068742216,3000.0,194.14663123091063,194.14663123091063,1.0
30000,1.5954843,0.38777062,3000.0,715.7720755736033,715.7720755736033,1.0
40000,1.6009698,0.3930893,2541.0,20.142319463193417,20.142319463193417,1.0
50000,1.596159,0.55946255,3000.0,657.6542418636382,657.6542418636382,1.0
60000,1.5946479,1.0027776,3000.0,673.0867544412613,673.0867544412613,1.0
70000,1.5864736,1.0484308,3000.0,819.1936211387316,819.1936211387316,1.0
80000,1.5861542,1.2554313,3000.0,793.0545954704285,793.0545954704285,1.0
90000,1.5786517,1.0589284,3000.0,854.0029636373123,854.0029636373123,1.0
100000,1.5670214,1.3809808,3000.0,799.824000030756,799.824000030756,1.0
110000,1.5790657,1.764941,3000.0,1205.2666956484318,1205.2666956484318,1.0
120000,1.5733749,1.7834455,3000.0,1168.4674561421077,1168.4674561421077,1.0
130000,1.5550574,1.621943,3000.0,697.0490155220032,697.0490155220032,1.0
140000,1.5406288,1.683011,3000.0,1012.4141274429858,1012.4141274429858,1.0
150000,1.5525918,1.8332996,3000.0,1004.9303756753603,1004.9303756753603,1.0
160000,1.5555671,2.0393574,3000.0,1323.3565295735996,1323.3565295735996,1.0
170000,1.5648165,1.7304734,3000.0,971.5445802509785,971.5445802509785,1.0
180000,1.5612608,1.9351585,3000.0,1185.8732654651005,1185.8732654651005,1.0
190000,1.5506434,1.7896106,3000.0,1051.1049292683601,1051.1049292683601,1.0
200000,1.5271989,1.7209451,3000.0,1127.0028990209103,1127.0028990209103,1.0
210000,1.538065,1.7853135,3000.0,1084.1821776628494,1084.1821776628494,1.0
220000,1.5445676,1.8782254,3000.0,890.6477834979693,890.6477834979693,1.0
230000,1.5508611,1.9302466,3000.0,1287.316212773323,1287.316212773323,1.0
240000,1.5613159,2.3179004,3000.0,1374.048482934634,1374.048482934634,1.0
250000,1.5563936,2.183445,3000.0,1354.543881257375,1354.543881257375,1.0
260000,1.5484047,2.0345955,3000.0,1054.0993076115847,1054.0993076115847,1.0
270000,1.5370572,1.8874947,3000.0,1216.5257682005565,1216.5257682005565,1.0
280000,1.5267111,2.040349,3000.0,1225.7001836498578,1225.7001836498578,1.0
290000,1.5633515,1.6014894,3000.0,1032.2188344467431,1032.2188344467431,1.0
300000,1.5482619,1.9410632,3000.0,846.2814473708471,846.2814473708471,1.0
310000,1.5306902,1.9167166,3000.0,1238.7857863903046,1238.7857863903046,1.0
320000,1.5443251,1.7845601,3000.0,1254.641347385943,1254.641347385943,1.0
330000,1.5098553,2.1830926,3000.0,1095.7129621108372,1095.7129621108372,1.0
340000,1.5315909,2.1878583,3000.0,1176.893092374007,1176.893092374007,1.0
350000,1.5238817,1.7999027,3000.0,918.4885911047459,918.4885911047459,1.0
360000,1.5284728,1.9428592,3000.0,1240.101359506448,1240.101359506448,1.0
