Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.6094251,0.03431836,3000.0,472.2405225634575,472.2405225634575,1.0
20000,1.6000582,0.13975984,3000.0,549.7189774761597,549.7189774761597,1.0
30000,1.6053648,0.29998913,3000.0,661.421519289414,661.421519289414,1.0
40000,1.6076912,0.30598882,3000.0,259.90209152176976,259.90209152176976,1.0
50000,1.6049689,0.5582936,3000.0,578.0076044797897,578.0076044797897,1.0
60000,1.6042676,0.9121574,3000.0,557.9124236255884,557.9124236255884,1.0
70000,1.597871,1.0350592,3000.0,1034.4903985410929,1034.4903985410929,1.0
80000,1.5996267,1.0384922,3000.0,763.5635720094045,763.5635720094045,1.0
90000,1.5949622,1.298912,3000.0,1009.1082046329975,1009.1082046329975,1.0
100000,1.5945916,1.5623419,3000.0,1146.780742019415,1146.780742019415,1.0
110000,1.5862374,1.6843234,3000.0,1068.6643462181091,1068.6643462181091,1.0
120000,1.5822959,1.6623024,3000.0,843.5459338327249,843.5459338327249,1.0
130000,1.5660745,1.7913541,3000.0,1194.0128487199545,1194.0128487199545,1.0
140000,1.5630391,1.9360219,3000.0,1118.9574877421062,1118.9574877421062,1.0
150000,1.5466412,2.1958709,3000.0,1438.7963435649872,1438.7963435649872,1.0
160000,1.5130441,2.9276037,3000.0,1645.3209067583084,1645.3209067583084,1.0
170000,1.497127,2.7068703,3000.0,1667.4361910422642,1667.4361910422642,1.0
180000,1.4818853,3.0497186,3000.0,1810.7722791333993,1810.7722791333993,1.0
190000,1.4776032,3.0030541,3000.0,1849.316738396883,1849.316738396883,1.0
200000,1.447019,3.3546376,3000.0,2210.4530730843544,2210.4530730843544,1.0
210000,1.4609979,2.9504862,3000.0,1679.671696126461,1679.671696126461,1.0
220000,1.4386206,2.9427478,3000.0,1851.7669654935598,1851.7669654935598,1.0
230000,1.4465444,2.6888916,3000.0,1637.4114070187013,1637.4114070187013,1.0
240000,1.4594676,2.3404803,3000.0,1523.374632169803,1523.374632169803,1.0
250000,1.4062746,3.052376,3000.0,1744.531245470047,1744.531245470047,1.0
260000,1.4005452,3.0186932,3000.0,1871.6993165810902,1871.6993165810902,1.0
270000,1.3377836,3.5816934,3000.0,2110.3229719003043,2110.3229719003043,1.0
280000,1.4078182,2.7544494,3000.0,1790.4689022824168,1790.4689022824168,1.0
290000,1.2938364,3.764867,3000.0,1983.867488225301,1983.867488225301,1.0
300000,1.3337029,3.214354,3000.0,2029.0302120844524,2029.0302120844524,1.0
310000,1.286405,3.6222003,3000.0,2039.7900057286024,2039.7900057286024,1.0
320000,1.323452,2.9045842,3000.0,1837.0386939843495,1837.0386939843495,1.0
330000,1.2366848,3.7079098,3000.0,1936.7979794790347,1936.7979794790347,1.0
340000,1.3157152,3.2088492,3000.0,1805.7654596678913,1805.7654596678913,1.0
350000,1.1293468,3.9263854,3000.0,2250.9495278199515,2250.9495278199515,1.0
360000,1.1240203,3.9642887,3000.0,2339.083284219106,2339.083284219106,1.0
370000,1.166537,3.6202807,3000.0,2140.4576722234488,2140.4576722234488,1.0
380000,1.0261519,4.12793,3000.0,2397.6416211922965,2397.6416211922965,1.0
390000,1.03415,4.0376415,3000.0,2558.917389233907,2558.917389233907,1.0
400000,1.064818,3.8022234,3000.0,2181.4229554086924,2181.4229554086924,1.0
410000,0.9487797,3.9587483,3000.0,2355.514018615087,2355.514018615087,1.0
420000,1.0425338,4.014452,3000.0,2353.9881725112596,2353.9881725112596,1.0
430000,1.0212357,3.7647321,3000.0,2317.705993503332,2317.705993503332,1.0
440000,0.8943422,4.3819065,3000.0,2594.211090564728,2594.211090564728,1.0
450000,0.8956648,4.3374624,3000.0,2612.084768295288,2612.084768295288,1.0
460000,0.91421014,4.1402473,3000.0,2449.5861831977963,2449.5861831977963,1.0
470000,0.8761772,4.23937,3000.0,2524.623786052068,2524.623786052068,1.0
480000,0.85423905,4.367809,3000.0,2593.8100593884787,2593.8100593884787,1.0
490000,0.9938347,3.707281,3000.0,2327.596134841442,2327.596134841442,1.0
500000,0.815555,4.4109225,3000.0,2535.609714175264,2535.609714175264,1.0
510000,0.8935279,4.0438266,3000.0,2460.11212015152,2460.11212015152,1.0
520000,0.8450901,4.3912425,3000.0,2614.5890926122665,2614.5890926122665,1.0
530000,0.83942986,4.389533,3000.0,2587.2748835881553,2587.2748835881553,1.0
540000,0.9219603,3.9537656,3000.0,2345.135306060314,2345.135306060314,1.0
550000,0.8253021,4.1888466,3000.0,2491.7748506590724,2491.7748506590724,1.0
560000,0.8477961,4.0026507,3000.0,2247.2346825997033,2247.2346825997033,1.0
570000,0.7535683,4.3850107,3000.0,2658.8714294433594,2658.8714294433594,1.0
580000,0.7333061,4.363903,3000.0,2578.6114650964737,2578.6114650964737,1.0
590000,0.7310605,4.342073,3000.0,2550.004505634308,2550.004505634308,1.0
600000,0.73506075,4.1962767,3000.0,2571.5371656020484,2571.5371656020484,1.0
610000,0.8363707,3.7572038,3000.0,2177.746147930622,2177.746147930622,1.0
620000,0.8209709,3.4527743,3000.0,1744.1979298591614,1744.1979298591614,1.0
630000,0.66559064,4.0981708,3000.0,2561.463989575704,2561.463989575704,1.0
640000,0.6445869,4.3179135,3000.0,2543.642996877432,2543.642996877432,1.0
650000,0.7006808,4.320657,3000.0,2652.8266684214273,2652.8266684214273,1.0
660000,0.82245976,3.9232497,3000.0,2130.5872880220413,2130.5872880220413,1.0
670000,0.7982583,3.9466095,3000.0,2546.9047731161118,2546.9047731161118,1.0
680000,0.8026742,3.9670055,3000.0,2182.277915880084,2182.277915880084,1.0
690000,0.68396586,4.368076,3000.0,2586.3229735692344,2586.3229735692344,1.0
700000,0.65962154,4.2893248,3000.0,2583.311246961355,2583.311246961355,1.0
710000,0.6568964,4.3407736,3000.0,2588.812522570292,2588.812522570292,1.0
