Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.6094335,0.0031087364,3000.0,412.60391900936764,412.60391900936764,1.0
20000,1.6083705,0.25969177,3000.0,502.81789721051854,502.81789721051854,1.0
30000,1.6084478,0.3586244,3000.0,622.3488446871439,622.3488446871439,1.0
40000,1.6042408,0.7080612,3000.0,638.4542340040207,638.4542340040207,1.0
50000,1.6012543,0.7671593,3000.0,814.1433340013027,814.1433340013027,1.0
60000,1.602283,0.7176688,3000.0,802.9579832951227,802.9579832951227,1.0
70000,1.5957133,0.9038143,3000.0,387.2409229129553,387.2409229129553,1.0
80000,1.5980288,1.0182166,3000.0,720.5658193230629,720.5658193230629,1.0
90000,1.5972399,1.0264522,3000.0,975.873221591115,975.873221591115,1.0
100000,1.5931505,1.4455397,3000.0,1062.4482571780682,1062.4482571780682,1.0
110000,1.5924664,1.6179752,3000.0,629.1332859247923,629.1332859247923,1.0
120000,1.5919644,1.2388728,3000.0,1207.9018467466037,1207.9018467466037,1.0
130000,1.5802213,1.2699686,3000.0,719.3691343329847,719.3691343329847,1.0
140000,1.5813218,1.4189109,3000.0,681.0413761635622,681.0413761635622,1.0
150000,1.5790193,1.276901,3000.0,683.2233991026878,683.2233991026878,1.0
160000,1.5781025,1.3957541,3000.0,902.4769640117884,902.4769640117884,1.0
170000,1.5796335,1.401722,3000.0,944.3078261514505,944.3078261514505,1.0
180000,1.5638651,1.8191239,3000.0,899.6626097510258,899.6626097510258,1.0
190000,1.5648586,1.682808,3000.0,1025.6693370044231,1025.6693370044231,1.0
200000,1.5615627,2.041009,3000.0,1099.5900733669598,1099.5900733669598,1.0
210000,1.568358,2.0852497,3000.0,1265.28596179684,1265.28596179684,1.0
220000,1.5242482,1.2112323,3000.0,660.6526262015104,660.6526262015104,1.0
230000,1.5425726,1.9113925,3000.0,1109.160718607406,1109.160718607406,1.0
240000,1.5252091,1.7279984,3000.0,913.2683970431486,913.2683970431486,1.0
250000,1.2568239,1.1965677,3000.0,308.8317913040519,308.8317913040519,1.0
260000,1.4536555,1.6666467,3000.0,965.2580034124354,965.2580034124354,1.0
270000,1.5169978,1.5232933,3000.0,809.9288690810403,809.9288690810403,1.0
280000,1.501087,1.0387977,2594.5,324.17077861353755,324.17077861353755,1.0
290000,1.5041894,1.8501245,3000.0,1069.521359078586,1069.521359078586,1.0
300000,1.5053684,1.6407917,3000.0,817.413599739472,817.413599739472,1.0
310000,0.81827056,1.2139884,3000.0,22.98433214922746,22.98433214922746,1.0
320000,1.4989194,1.9638062,3000.0,949.42050370574,949.42050370574,1.0
330000,1.4829751,0.8743439,3000.0,534.0143287579218,534.0143287579218,1.0
340000,1.4725399,1.5609123,3000.0,1008.1154726942381,1008.1154726942381,1.0
350000,1.4423593,1.8227518,3000.0,924.0737134665251,924.0737134665251,1.0
360000,1.3900545,2.0185614,3000.0,1095.2822019656498,1095.2822019656498,1.0
370000,1.4296821,1.9712379,3000.0,882.9416079521179,882.9416079521179,1.0
380000,1.4449329,1.9928585,3000.0,813.5513669233769,813.5513669233769,1.0
390000,1.4668769,2.0077236,3000.0,797.5878101587296,797.5878101587296,1.0
400000,1.4361397,2.108023,3000.0,1143.6912871201832,1143.6912871201832,1.0
410000,1.3502688,2.1757429,3000.0,1118.9068171009421,1118.9068171009421,1.0
420000,1.4058874,1.8528295,3000.0,959.3573462069035,959.3573462069035,1.0
430000,1.4009436,2.3092706,3000.0,1267.9192244211833,1267.9192244211833,1.0
440000,1.402974,1.9179617,3000.0,881.9749341532588,881.9749341532588,1.0
450000,1.4347486,2.043789,3000.0,952.4512018660704,952.4512018660704,1.0
460000,1.3133577,1.9986638,3000.0,1275.5901117821534,1275.5901117821534,1.0
470000,1.3657657,1.5204476,3000.0,747.0956731438637,747.0956731438637,1.0
480000,1.3813184,1.6556765,3000.0,914.3758144676685,914.3758144676685,1.0
490000,1.4160866,1.5706096,3000.0,766.7205661634604,766.7205661634604,1.0
500000,1.3424281,1.5529865,3000.0,832.9355914220214,832.9355914220214,1.0
510000,1.3407273,2.2383156,3000.0,1156.823738972346,1156.823738972346,1.0
520000,1.4268425,1.3716744,3000.0,773.1039840901891,773.1039840901891,1.0
530000,1.2666608,1.9324439,3000.0,1130.6019955575466,1130.6019955575466,1.0
540000,1.3708467,1.7538834,3000.0,750.081092218558,750.081092218558,1.0
550000,1.3016101,2.131989,3000.0,1225.5149451891582,1225.5149451891582,1.0
560000,1.378215,1.8972516,3000.0,995.7253249809146,995.7253249809146,1.0
570000,1.2195685,2.0511923,3000.0,1219.9487780133884,1219.9487780133884,1.0
580000,1.2698996,2.0102077,3000.0,1341.4057580033939,1341.4057580033939,1.0
590000,1.2471479,1.9734368,3000.0,1270.2641970850527,1270.2641970850527,1.0
600000,1.2855306,2.0213578,3000.0,972.5396857857704,972.5396857857704,1.0
610000,1.241875,1.91074,3000.0,1004.4944669802984,1004.4944669802984,1.0
620000,1.2431935,2.1257374,3000.0,1373.7577470615506,1373.7577470615506,1.0
630000,1.1405896,2.3028948,3000.0,1439.3979301452637,1439.3979301452637,1.0
640000,1.1616993,2.3208928,3000.0,1400.801129301389,1400.801129301389,1.0
650000,1.227202,1.9487412,3000.0,1074.1952118128538,1074.1952118128538,1.0
660000,1.2209448,2.157979,3000.0,1064.7149586876233,1064.7149586876233,1.0
670000,1.2470282,2.0127385,3000.0,1225.7957569758098,1225.7957569758098,1.0
680000,1.2177625,2.0062957,3000.0,1155.4169689640403,1155.4169689640403,1.0
690000,1.134156,1.9111373,3000.0,1009.0128042697906,1009.0128042697906,1.0
700000,1.2287374,1.9578984,3000.0,866.7348335882028,866.7348335882028,1.0
710000,1.1204679,2.0857463,3000.0,1189.766386680305,1189.766386680305,1.0
720000,1.1793325,2.0326009,3000.0,1152.2403381268184,1152.2403381268184,1.0
730000,1.2571697,2.0330408,3000.0,1176.4775349870324,1176.4775349870324,1.0
740000,1.236343,1.6372372,3000.0,813.302127359435,813.302127359435,1.0
750000,1.2260835,2.0797293,3000.0,1195.9109163284302,1195.9109163284302,1.0
760000,1.1993147,1.9184333,3000.0,1234.3251293897629,1234.3251293897629,1.0
770000,1.0655828,2.065198,3000.0,1357.4928289465606,1357.4928289465606,1.0
780000,1.0810387,2.2746153,3000.0,1280.4247901042302,1280.4247901042302,1.0
790000,1.0741979,2.0540729,3000.0,1205.638560662667,1205.638560662667,1.0
800000,1.1805289,1.792557,3000.0,1058.1783469319344,1058.1783469319344,1.0
810000,1.1789688,2.0823874,3000.0,1037.5959897339344,1037.5959897339344,1.0
820000,1.1083646,2.0682073,3000.0,1182.0669845143955,1182.0669845143955,1.0
830000,1.1072987,2.2341893,3000.0,1146.3997257351875,1146.3997257351875,1.0
840000,1.1393849,1.8991752,3000.0,1019.3832627336184,1019.3832627336184,1.0
850000,1.0689703,2.2989593,3000.0,1423.6892123483121,1423.6892123483121,1.0
860000,1.0604216,2.126923,3000.0,1072.8678406151012,1072.8678406151012,1.0
870000,1.0210613,2.2140095,3000.0,1436.4967081944149,1436.4967081944149,1.0
880000,1.1133466,1.8317174,3000.0,841.3022303978602,841.3022303978602,1.0
890000,1.0580729,1.9816743,3000.0,1147.9156278036535,1147.9156278036535,1.0
900000,1.1346892,1.851638,3000.0,836.145950747033,836.145950747033,1.0
910000,1.1543882,1.9946693,3000.0,1005.3328452507654,1005.3328452507654,1.0
920000,1.0187285,2.2883976,3000.0,1343.6290454640985,1343.6290454640985,1.0
930000,0.9506779,2.288426,3000.0,1297.1560153166454,1297.1560153166454,1.0
940000,0.90271735,2.1611037,3000.0,1193.0986743768055,1193.0986743768055,1.0
